attivo;tinyurl;url
0;2ee84t82;https://www.isime.it/edizione-nazionale-delle-opere-di-flavio-biondo
0;2p8s47d7;https://www.lescienze.it/news/2017/09/27/news/linguaggio_articoli_scientifici_wikipedia-3678870/?rss
0;2p9d3s7x;https://noi-italia.istat.it/documenti/Cultura%20e%20tempo%20libero.zip
0;2p9x5wcb;https://archive.org/stream/bub_gb_RyVIZnPdkgAC#page/n81/mode/2up
0;2rb2wvyz;https://www.isime.it/index.php/attivita-scientifica/progetti/edizione-nazionale-delle-opere-di-flavio-biondo/opere-disponibili-in-rete
0;2yktf5h4;https://archiviostorico.gruppotim.it/sites/default/files/Elettronica%20e%20Telecomunicazioni,%20anno%20XVII,%2020n.%206,%201968.pdf
0;3v374btc;https://www.ilmessaggero.it/primopiano/politica/riduzione_delle_regioni_gennaio_parlamento-774410.html
0;5xc797n5;ftp://host-85-37-108-166.business.telecomitalia.it/Museo%20Archeologico/Tesi%20carta%20archeologica%202013.pdf
0;y9dbrrzp;http://antique.mrugala.net/Atlas%20antique%20(miror)/carto/liens.html
0;yc2r6nvp;https://books.google.it/books?id=RyVIZnPdkgAC
0;ymmdduky;https://agenziaentrate.gov.it/portale/web/guest/schede/fabbricatiterreni/portale-per-i-comuni/servizi-portale-dei-comuni/toponomastica
1;2acwtuu6;https://www.gazzettaufficiale.it/do/gazzetta/downloadPdf?dataPubblicazioneGazzetta=19380902&numeroGazzetta=200&tipoSerie=FO&tipoSupplemento=GU&numeroSupplemento=0&progressivo=0&estensione=pdf&edizione=0&rangeAnni=
1;2bm63p2u;https://articles.adsabs.harvard.edu/cgi-bin/nph-iarticle_query?1986CeMec..38..155G&data_type=PDF_HIGH&whole_paper=YES&type=PRINTER&filetype=.pdf
1;2d3dsxuz;https://www.post.ch/it/chi-siamo/media/cambiamenti-nella-rete-postale/2019/campione-entrata-dell-exclave-nello-spazio-doganale-europeo
1;2j76n952;https://agenziaentrate.gov.it/portale/schede/fabbricatiterreni/portale-per-i-comuni/servizi-portale-dei-comuni/toponomastica
1;2k79bvch;https://archiviostorico.gruppotim.it/it/’azienda-telefonica-di-stato-asst-1925-1994
1;2nkz426x;http://bibliotecauniversitarianapoli.beniculturali.it/index.php?it/342/atlante-geografico-del-regno-di-napoli
1;2nmhvp5n;https://web.archive.org/web/20191226132411/http://www.2200anniemilia.it/
1;2p89d4ze;https://www.archiviocasalis.it/localized-install/content/uno-schedario-dei-comuni-piemontesi
1;2p89ru7c;https://www.ansa.it/sardegna/notizie/2021/06/10/sardegna-governo-impugna-aumento-province-da-5-a-8_d7caa2c7-5818-427c-8bf7-a164eddbc71c.html
1;2p8hzjnk;https://agenziaentrate.gov.it/portale/documents/20143/266134/Nota+Istat+del+15012014_Nota+Istat+912+del+15_01_2014.pdf
1;2p8pkhpe;https://www.agid.gov.it/it/agenzia/stampa-e-comunicazione/notizie/2019/04/18/geodati-online-il-registro-istat-denominazioni-urbanistiche-generiche-dug
1;2p94pdwm;https://www.lescienze.it/news/2017/09/27/news/linguaggio_articoli_scientifici_wikipedia-3678870/
1;2p985kax;https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2000-08-18;267
1;2ru4fucc;https://www.researchgate.net/publication/324918383_PENDOLARISMO_A_ROMA_-_SISTEMI_GIORNALIERI_URBANI_DI_ROMA_UN'IPOTESI_DI_DEFINIZIONE
1;2s49bckr;https://patrimonioculturale.regione.emilia-romagna.it/chi-siamo/parliamo-di/lucio-gambi/allegati/che_genere_regione.pdf
1;2skw5f4j;https://books.google.it/books?id=Vk0pAAAAYAAJ&pg=PR9
1;2st5xn89;https://archiviostorico.gruppotim.it/sites/default/files/Elettronica%20e%20Telecomunicazioni%2C%20anno%20XVII%2C%20n.%206%2C%201968.pdf
1;2syaaajv;https://ambiente.regione.emilia-romagna.it/it/geologia/geologia/geositi-paesaggio-geologico/itinerari/le-pietre-di-bologna-litologia-di-una-citta/quartiere-di-porta-ravegnana
1;2urfdzab;https://www.treccani.it/enciclopedia/l-italia-romana-delle-regiones-introduzione_(Il-Mondo-dell'Archeologia)
1;2urv6fbw;https://www.repubblica.it/cultura/2017/06/30/news/da_torino_a_palermo_guida_a_tutti_i_carneadi_del_nostro_stradario-169554781
1;2vuf23bd;http://societageografica.net/images/stories/Pubblicazioni/NUOVA_EDIZIONE_e-book_Il_riordino_territoriale_dello_Stato.pdf
1;32fwkcdj;https://www.treccani.it/enciclopedia/l-italia-romana-delle-regiones-regio-iii-lucania-et-bruttii_(Il-Mondo-dell'Archeologia)
1;33bzmkz8;https://it.wikipedia.org/wiki/Costituzione_siciliana_del_1812#La_suddivisione_amministrativa
1;36svcst2;https://it.wikipedia.org/wiki/Suddivisioni_amministrative_dello_Stato_Pontificio_in_età_contemporanea
1;38vuzbev;http://www.lombardiaquotidiano.com/notizia/proposta-lombarda-su-enti-locali-riforma-del-titolo-v-della-costituzione-e-del-senato
1;39axaa8n;https://archiviostorico.gruppotim.it/sites/default/files/Telefono%20indice%20sviluppo.pdf
1;3dan8652;https://en.wikipedia.org/wiki/Georgia_(country)#Etymology
